"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"9/9/2024","9/9/2024","9/10/2024","","ACH Deposit","ACH","","","$200.00"
"9/9/2024","9/9/2024","9/10/2024","","ACH Deposit","ACH","","","$100.00"
"9/6/2024","9/6/2024","9/9/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$498.48","($249.24)"
"9/6/2024","9/6/2024","9/9/2024","","ACH Deposit","ACH","","","$200.00"
"9/6/2024","9/6/2024","9/9/2024","","ACH Withdrawal","ACH","","","($100.00)"
"9/3/2024","9/3/2024","9/4/2024","","ACH Deposit","ACH","","","$100.00"
"8/27/2024","8/27/2024","8/28/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","2","$516.14","($1,032.28)"
"8/27/2024","8/27/2024","8/28/2024","HD","Home Depot
CUSIP: 437076102","Sell","0.5","$373.15","$186.58"
"8/27/2024","8/27/2024","8/28/2024","KO","Coca-Cola
CUSIP: 191216100","Sell","2","$71.40","$142.81"
"8/27/2024","8/27/2024","8/28/2024","VICI","VICI Properties
CUSIP: 925652109","Sell","3","$33.14","$99.41"
"8/27/2024","8/27/2024","8/28/2024","QQQ","Invesco QQQ
CUSIP: 46090E103","Sell","0.192598","$476.90","$91.85"
"8/27/2024","8/27/2024","8/28/2024","MCD","McDonald's
CUSIP: 580135101","Sell","0.5","$290.06","$145.03"
"8/27/2024","8/27/2024","8/28/2024","SPHD","Invesco S&P 500 High Dividend Low Volatility ETF
CUSIP: 46138E362","Sell","3","$49.02","$147.06"
"8/27/2024","8/27/2024","8/28/2024","JEPI","JPMorgan Equity Premium Income
CUSIP: 46641Q332","Sell","2","$58.34","$116.67"
"8/27/2024","8/27/2024","8/28/2024","TXN","Texas Instruments
CUSIP: 882508104","Sell","0.5","$210.58","$105.29"
"8/27/2024","8/27/2024","8/28/2024","SCHD","Schwab US Dividend Equity ETF
CUSIP: 808524797","Buy","4","$83.40","($333.60)"
"8/27/2024","8/27/2024","8/28/2024","VUG","Vanguard Growth ETF
CUSIP: 922908736","Sell","0.14502","$376.80","$54.64"
"8/27/2024","8/27/2024","8/28/2024","VIG","Vanguard Dividend Appreciation ETF
CUSIP: 921908844","Sell","0.273554","$194.10","$53.10"
"8/27/2024","8/27/2024","8/28/2024","PEP","PepsiCo
CUSIP: 713448108","Sell","0.2973","$174.66","$51.92"
"8/26/2024","8/26/2024","8/27/2024","","ACH Deposit","ACH","","","$100.00"
"8/23/2024","8/23/2024","8/23/2024","SPHD","Cash Div: R/D 2024-08-19 P/D 2024-08-23 - 3 shares at 0.13123","CDIV","","","$0.39"
"8/23/2024","8/23/2024","8/26/2024","DIS","Disney
CUSIP: 254687106","Sell","0.5","$90.32","$45.16"
"8/23/2024","8/23/2024","8/26/2024","AMC","AMC Entertainment
CUSIP: 00165C302","Sell","5","$5.04","$25.18"
"8/19/2024","8/19/2024","8/20/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$510.33","($255.17)"
"8/19/2024","8/19/2024","8/20/2024","","ACH Deposit","ACH","","","$100.00"
"8/15/2024","8/15/2024","8/15/2024","O","Cash Div: R/D 2024-08-01 P/D 2024-08-15 - 4 shares at 0.263","CDIV","","","$1.05"
"8/14/2024","8/14/2024","8/14/2024","ADC","Cash Div: R/D 2024-07-31 P/D 2024-08-14 - 1 shares at 0.25","CDIV","","","$0.25"
"8/13/2024","8/13/2024","8/13/2024","TXN","Cash Div: R/D 2024-07-31 P/D 2024-08-13 - 0.5 shares at 1.3","CDIV","","","$0.65"
"8/13/2024","8/13/2024","8/14/2024","SBUX","Starbucks
CUSIP: 855244109","Sell","2","$92.28","$184.56"
"8/12/2024","8/12/2024","8/13/2024","BKNG","Booking Holdings
CUSIP: 09857L108","Buy","0.03","$3,437.34","($103.12)"
"8/12/2024","8/12/2024","8/13/2024","","ACH Deposit","ACH","","","$100.00"
"8/9/2024","8/9/2024","8/9/2024","COST","Cash Div: R/D 2024-07-26 P/D 2024-08-09 - 0.5 shares at 1.16","CDIV","","","$0.58"
"8/9/2024","8/9/2024","8/9/2024","MA","Cash Div: R/D 2024-07-09 P/D 2024-08-09 - 0.5 shares at 0.66","CDIV","","","$0.33"
"8/7/2024","8/7/2024","8/8/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$478.04","($239.02)"
"8/7/2024","8/7/2024","8/8/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","1","$92.96","($92.96)"
"8/7/2024","8/7/2024","8/7/2024","SCHG","Stock Lending","SLIP","","","$0.01"
"8/7/2024","8/7/2024","8/7/2024","VYM","Stock Lending","SLIP","","","$0.01"
"8/7/2024","8/7/2024","8/7/2024","TXRH","Stock Lending","SLIP","","","$0.01"
"8/7/2024","8/7/2024","8/7/2024","NOBL","Stock Lending","SLIP","","","$0.01"
"8/7/2024","8/7/2024","8/7/2024","AMC","Stock Lending","SLIP","","","$0.01"
"8/7/2024","8/7/2024","8/7/2024","ARM","Stock Lending","SLIP","","","$0.01"
"8/7/2024","8/7/2024","8/7/2024","RSP","Stock Lending","SLIP","","","$0.01"
"8/6/2024","8/6/2024","8/7/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","2","$93.68","($187.36)"
"8/5/2024","8/5/2024","8/5/2024","JEPI","Cash Div: R/D 2024-08-01 P/D 2024-08-05 - 2 shares at 0.28949","CDIV","","","$0.58"
"8/5/2024","8/5/2024","8/6/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","1","$92.43","($92.43)"
"8/5/2024","8/5/2024","8/6/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","2","$93.36","($186.72)"
"8/5/2024","8/5/2024","8/6/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","2","$91.47","($182.94)"
"8/5/2024","8/5/2024","8/6/2024","","ACH Deposit","ACH","","","$1,000.00"
"8/5/2024","8/5/2024","8/6/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","1","$91.17","($91.17)"
"8/5/2024","8/5/2024","8/6/2024","","ACH Deposit","ACH","","","$100.00"
"8/2/2024","8/2/2024","8/5/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","2","$94.96","($189.92)"
"8/2/2024","8/2/2024","8/5/2024","","ACH Deposit","ACH","","","$200.00"
"7/31/2024","7/31/2024","7/31/2024","QQQ","Cash Div: R/D 2024-06-24 P/D 2024-07-31 - 0.192598 shares at 0.7615","CDIV","","","$0.15"
"7/29/2024","7/29/2024","7/30/2024","SCHG","Schwab US Large-Cap Growth ETF
CUSIP: 808524300","Buy","1","$99.11","($99.11)"
"7/29/2024","7/29/2024","7/30/2024","","ACH Deposit","ACH","","","$100.00"
